id,place_name,category_name,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,distance,wheelchair,animal,keyword,rate_count,rate
25623277,낙원동아구찜거리,"여행 > 관광,명소 > 테마거리",AT4,관광명소,,서울 종로구 낙원동,,126.988118474352,37.5733937913018,http://place.map.kakao.com/25623277,,unknown,unknown,,2,4.5
467710256,익선동한옥거리,"여행 > 관광,명소 > 테마거리",AT4,관광명소,,서울 종로구 익선동,,126.989775723896,37.5734371942191,http://place.map.kakao.com/467710256,,unknown,unknown,,35,3.6
924441213,돈의동갈매기살골목,"여행 > 관광,명소 > 테마거리 > 먹자골목",AT4,관광명소,,서울 종로구 돈의동,,126.990880599307,37.5731273424889,http://place.map.kakao.com/924441213,,unknown,unknown,,4,2.5
26563921,동네골목길관광코스 종교문화유적길,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 견지동,,126.98280243847536,37.57400220908697,http://place.map.kakao.com/26563921,,unknown,unknown,#걷기좋은 ,0,0
26563941,서울도보관광코스 인사동~운현궁코스,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 관훈동,,126.98416992774226,37.57392671681528,http://place.map.kakao.com/26563941,,unknown,unknown,#걷기좋은 ,0,0
21273056,인사동 문화의거리,"여행 > 관광,명소 > 테마거리",AT4,관광명소,,서울 종로구 관훈동 30-1,서울 종로구 인사동10길 11-4,126.985591616819,37.5745467832909,http://place.map.kakao.com/21273056,,unknown,unknown,,9,3.4
26419371,정명당,"여행 > 관광,명소 > 도자기,도예촌",AT4,관광명소,02-730-9599,서울 종로구 관훈동 30-13,서울 종로구 인사동10길 14,126.985750171393,37.5741719887225,http://place.map.kakao.com/26419371,,unknown,unknown,#제로페이 ,2,3.0
26572390,clayu,"여행 > 관광,명소 > 도자기,도예촌",AT4,관광명소,,서울 종로구 익선동 42,서울 종로구 삼일대로32가길 29-1,126.989336325289,37.5747021520343,http://place.map.kakao.com/26572390,,unknown,unknown,,0,0
26558536,동네골목길관광코스 2코스(사직동오솔길),"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 사직동,,126.96828479452655,37.57563540781105,http://place.map.kakao.com/26558536,,unknown,unknown,#걷기좋은 ,0,0
8465462,운현궁,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,02-766-9090,서울 종로구 운니동 114-10,서울 종로구 삼일대로 464,126.987085596535,37.576226410093,http://place.map.kakao.com/8465462,,unknown,unknown,,21,4.3
